labels,address,colors,number_entries,id_entries,lat,lon
-1,"797 Broadway, New York, NY 10003, USA","(0.5941176470588235, 0.5941176470588235, 0.5941176470588235)",297,"['1462201898421-3fe51c2f597a55c4', '1462201909720-3fe168a9532130a7', '1466099253000-3fe83d45b1ba7614', '1484961303527-3fd0ce852384f3ac', '1485941394672-3fbb97c069ab1120', '1488691463911-3fcf6eed9dd2c6bc', '1491009664996-3fd48ad4929e119e', '1493106587191-3fead75d54cfa87a', '1493189793064-3fe3133f34c335e8', '1493798739339-3fef21efd2418c2f', '1494082696470-3fe3e821f21d4a7b', '1494237328479-3fefee0ce4c1b477', '1494771347862-3fe2f8ed2943856c', '1496324589705-3fd656465fc956cc', '1496325095308-3fe49162552b83c1', '1496912765950-3fe1c7a7a91b5b27', '1496999317396-3fe41a505f645d8b', '1497158909537-3fe207a501bd57e9', '1497332555944-3fe5d76eaab1ba8b', '1497535125542-3fe8acfcb853662b', '1497535184234-3fd0ca0a44db64a0', '1497974100767-3fe98660797ce867', '1498069968852-3fdc0de646e44204', '1500442697115-3fec5e0cad9eb7ef', '1501845702380-3fc1e7c5171c28ec', '1501846506395-3feeb98dce0f6582', '1501987982889-3fe9bc2e18db9014', '1505130490476-3fe99ca23f25f368', '1505131470976-3fdc8de6adfb4e10', '1505321264716-3fbac5c823e3cf30', '1505523263422-3fc6bfbf777b1f3c', '1505622160228-3f8c428c40685640', '1506952298010-3fcb53ce6109d724', '1510970229383-3fd2b263b6ab795a', '1513073408315-3fefa426e163ab2a', '1513991227490-3fc9988f7dfe4138', '1513993004423-3fc4b1bf32c22778', '1515488153009-3fe065c4a1a5e074', '1515840064863-3fb672e13b29ae30', '1516299822427-3fe018f402cc1eef', '1519031414520-3fed25b36f47c4ca', '1520689893909-3fea27c3f424238f', '1521177419453-3fe04c7d116c709c', '1522141145404-3fe004cea1d83d69', '1522856292357-3fedff6e14e6533b', '1523718600758-3fdcc66955ac6596', '1524561077390-3fddb77b09562550', '1525576369031-3febd1b3525dcb7c', '1526459486599-3fc4edf50677521c', '1526459403765-3fa9b504b04ec340', '1527256440147-3fdc55cb784a6c3c', '1527870077045-3faa09645678ca80', '1528383826502-3fe7559ac60434e0', '1528482102068-3fecaba352a7f766', '1529672112494-3fc7e293671d38ac', '1533319321525-3fe67f8545d0a717', '1534222667942-3fea004c26aa9537', '1534493360030-3fe2cd369e2d5fb4', '1534535913290-3fb86a73a8d80848', '1534636845406-3fd3922418c07846', '1534967383817-3fb2dd0b9d7f96b8', '1534967472745-3fea02ab89d7bbd4', '1534967659516-3fe057108604f09a', '1535069082871-3febe7e75f9e38b4', '1535069428554-3fdf56cb2b3986a6', '1535137596093-3fd3b31a08d9b152', '1535339627493-3fc0cefd730269ac', '1536588559994-3fc5766ee9863ec8', '1537638647856-3feb77cb2d9bcb4d', '1537729407583-3fa29f5cd42d5000', '1537732680241-3fc91a8ca0f36b38', '1537734885873-3fdf604750d63638', '1537735433222-3fe18b1ed506dfc1', '1537738773970-3fe08541a2651131', '1537824495718-3fe39fd1c8e683e3', '1538229911562-3fe6afc7c36e1945', '1538805797951-3fe3298b86d27f4a', '1539276636937-3fd3edbff4176c06', '1539719260953-3fd70ba4d18864d0', '1540666391054-3fd3de4b65d6d3ee', '1540843167581-3fd282a696e462bc', '1540948342846-3fdff0a9ec34bc3a', '1540952721976-3fd0cbf88f37ad74', '1541024394611-3fe76433d6560784', '1541025723148-3fd38546d15b8b08', '1541025931817-3fb4ca5e363dfd30', '1541026411822-3fbd5b3e229b8e00', '1541027536471-3fe6ded48284853f', '1541029597811-3fce1ac622a6216c', '1542607056670-3fcd7fa23d3a6358', '1541248306923-3fdf6b4588497138', '1541523490453-3fe2b7c624fd5fc6', '1542062966628-3fe0c045c0828882', '1542135942171-3fe71a0f1407ff7c', '1542399666306-3fdaddbdfe87bce4', '1542401758234-3fedf5620e1113ba', '1542605936842-3feb68b1f68b5031', '1542606344371-3fe08220b2c44c44', '1542722618173-3fe01632509213f5', '1542732641470-3fcefd0133da5b98', '1543027510923-3fddd70d354001f4', '1543019484265-3fdbcf7dc2fa3542', '1543250150083-3fe12731e7e7ed57', '1543250781027-3fcfee44dc0262d0', '1543251355141-3fe6be668eda1788', '1543263987750-3fc80b88267e3b14', '1543266108913-3fdfe2edae930cdc', '1543267401664-3fe90b0bd15d36b8', '1543297739929-3fd73bd0c189ca20', '1543443362509-3fd6b8a2b52e0f96', '1543621790707-3fdb090a2fb85458', '1543852707333-3fe26abda8b7a0af', '1544325794542-3fe61efc91797d66', '1544329519078-3fe678f70bda1382', '1544331628485-3fee95f81a8f7a7e', '1544455290650-3fe66ec9a3912163', '1545058004964-3fe8af850646a268', '1545151021238-3fcea7159c71ed40', '1545285841189-3fde2f3dfcda611c', '1545446462781-3fde94d09f30afca', '1545497027044-3fdbaa9321b096fe', '1545786169962-3fee9d0b2a3706a1', '1545824002306-3fe3c4b23bc37404', '1545851471960-3fd3b78f06193b28', '1546106279911-3fca3dafdde1fcec', '1546191141060-3fdc79caaad0aa04', '1546323899233-3fea61cad4ac934f', '1546804469518-3fcddbdebd640594', '1547687105919-3fb64e912e439218', '1547928150196-3fcf62ec20babcac', '1547928266248-3fdb110e2ac93f60', '1548428883550-3fecd099761d0fb8', '1548948102502-3fe35a6d979c41be', '1549401675262-3fe1f50862f774bf', '1549637027061-3fe7174607c83825', '1550281886814-3fe33f373c5d273b', '1550597196789-3feb5d1924253306', '1550763148237-3fdce15d3f0c25f2', '1550975853963-3fd16c652cec7216', '1551235557947-3f876e6830e2a480', '1551460908972-3fec4425c88a9394', '1551463340601-3fd8de2c196a2ac0', '1551510681440-3fde2c975499cdb6', '1551581467513-3fc9951179c273a4', '1551636858430-3fdb28d84045c806', '1551668230784-3fe1e99b87a86fe1', '1552012669464-3fe616a02a18fc4f', '1552319463020-3fd68d4968b1ac2e', '1552743395716-3fecd9aef7fb3cb5', '1552743712120-3fe7aaefb88898d0', '1552946495159-3fd90a1a96f29a60', '1552949360686-3fdcf8ec7d9cb974', '1552950790920-3fcf2427e2d4a3ac', '1553032385332-3fd2b8231b65ee3a', '1553957714139-3fb5a8cc5db13c80', '1553971057853-3fe78b530e1181b3', '1554089045394-3fe5cd96a18a6b14', '1554324130368-3fec32c68666852c', '1554601238136-3fd89b56204c19ec', '1554745900244-3fe2a05cd9dadeeb', '1555034729971-3fc42934d2f74e98', '1555526050374-3fe30fb9accf65ee', '1555684333469-3fecfbb9f9ef6a29', '1555687458506-3fe4905487ca01cc', '1555786809531-3fee0aacc8b27995', '1556229571980-3fc3e2df1bb22ed8', '1556432242520-3fb6550100b7dc50', '1557181370391-3fbad91bfb0f4d88', '1557355465237-3fe72a4005ce37f7', '1557951382433-3fec3c6f0f2508b4', '1557953483660-3fac062b3276e2e0', '1557965778928-3fa7c913ef4f4080', '1558159341018-3fcfcedc027f7c80', '1558245025455-3fdb142908670de8', '1558249498884-3fc7ced5b506dc7c', '1558332070966-3feca80839ecd7ae', '1559343218984-3fe1cef82a33ab9e', '1559362545442-3fd587e528601270', '1559538126488-3fd03e69314af9e4', '1559709272786-3fe57be5976213a5', '1559711834228-3fe01509b19ab56a', '1559800612948-3fe609361a752a6a', '1560196446508-3fd4a6497dc4f8f6', '1560256070869-3fdc36e45e3649e8', '1560415706933-3fbea141367af2a0', '1561003341358-3fd60c80ba47b530', '1562126544874-3fd3111e96e9c544', '1562177017298-3fe5ee619abba2f8', '1562900355094-3fd84dc76ce1a530', '1562902416448-3fe6b1771d64a3bc', '1563142296121-3fe40ea6e6387ed1', '1563743644443-3fe79c8c03c9dad5', '1563776678519-3fa83879bc1e4200', '1563803582607-3fe5a934e65282b7', '1563914000592-3fed92ce0ec00976', '1564113229127-3fbe595444875508', '1564198994387-3fd7e97cd5de1dbe', '1564231831698-3fe0700c881790bf', '1564515944697-3feb0da49c4b4f3d', '1564577471004-3fe6a82e027b6728', '1564689142075-3fe3f106ff67890a', '1565033809950-3fef0f17e9f02d5d', '1565386486518-3fcfa6550269d650', '1565388067941-3fed64374020f78a', '1565483926288-3fd0b22293f2c5d6', '1565655447815-3fe866494b5ffd33', '1565917654921-3fe3ab60cbf103bb', '1565969509728-3fe2343bf272decb', '1566007999146-3fef7056d7f98fa0', '1566216795108-3fde952ef31344c2', '1566314595774-3fe6d4b39d6ff290', '1566362038681-3fe8b12246d13e26', '1566871434494-3fe603afa87cfbe1', '1566875792137-3fdc975495762638', '1567032797758-3feb570f8c9077d5', '1567290758588-3fa8b3395e4d1e90', '1567308699495-3fe6c5d4186bcc75', '1567365198855-3fe21326f4d14a8c', '1567397779508-3fd73da91a2df406', '1567540685006-3fed761a8865b470', '1567961643266-3fdbb75d21b058ba', '1568344034357-3fd1313d683d45bc', '1569186244663-3feb745755d1bfe3', '1569593412781-3fec67dd7fbcec88', '1570326802350-3fcff42cda7a9bd4', '1570719888827-3fe8e480b45ab288', '1571490422512-3fe4fab7d3ce9426', '1571885673291-3fe5c7e1d7995a08', '1572062349683-3fb1fb38690e0c38', '1572062609491-3fb84d38efbe18a0', '1572062773769-3fd98cef8e8a770c', '1572121758213-3fed574a63f67b0e', '1572307177496-3fece50636be0492', '1572708797993-3fedf82e00fe019c', '1572908373641-3fc34169a1cd3a70', '1573136070396-3feded4b7c9ee046', '1573161243615-3fd8ef9f8107f6dc', '1573658447795-3fe01b787988f187', '1573686943774-3fdfe1cb4028f8a2', '1573882155858-3fe16c3ee441695c', '1573965789311-3fea9183a40cedac', '1574044091173-3facfbbacae0b6b0', '1574044352692-3fdfa21ffaef9d1e', '1574052109812-3feca285a0423c73', '1574368860320-3fe1697053e44e55', '1574373329320-3fe662f381385956', '1574484936657-3fd6e9f02c8541e4', '1574695729145-3fd7fbb8df3b1e0a', '1574839178543-3fc6070a108800cc', '1575133232807-3fb034a220d34148', '1575488246788-3fe4979b1683b9a8', '1575489471039-3fd506fa6f55b8d6', '1577382744160-3fde5e7494349db4', '1577388864549-3fb953cdb8262a08', '1577551425432-3fe0c15eba7c6942', '1577555348117-3fe9f8ec7d76a545', '1577642828662-3fed5c98e00f8943', '1578025343623-3fb3b96f6dabfcf0', '1578372143027-3fd8c05a180d43d0', '1578563381092-3fd3c0efff0a1cb2', '1578616499927-3fbc5831dac8ccc0', '1578619535695-3f8c0d4a59ad8ec0', '1578846957390-3fdb2e03e59bc558', '1578848997618-3fe94e0cc0b2590b', '1578854438752-3fe75a236d5a87d3', '1578984862264-3fd91467b4d1f960', '1579241606880-3fe5ee199376fc52', '1579262659434-3fbab1c0fed88790', '1579691014612-3fd93511bb8a6212', '1580039244321-3fd3879b2a922a42', '1580040127062-3fb5e4d2bc7af0c8', '1580074630011-3fbe10b895572d38', '1580074807027-3fe4c58bbfcf53f5', '1580093128008-3fe988b9356796d8', '1580306090836-3fd24fabc710ed14', '1580318786222-3fe80ddf71a67f20', '1580319868621-3fd90397bb6b32cc', '1580589943868-3fe1ef96db8c1db6', '1580603078692-3fe1a9c8eb3294a4', '1580834559206-3fd3611cabea219c', '1580869602812-3feec7f344e591f4', '1580912294742-3fe72b3d1f752802', '1581005074604-3fef80f70f8758a4', '1581438321287-3feb0fdb864cbd59', '1581611176671-3fd1942188687770', '1582058012506-3fcfcd10d863d6d8', '1582165473184-3fe57bf11c5e1c37', '1582165447687-3fe822946074bf16', '1583044530698-3fd33b4c7272bf30', '1583045392005-3fdbc792a3b99e4c', '1583158349124-3fb12147843b1ab8', '1583194180448-3fdd0299f3c6f1aa', '1583587203747-3fd45ac449c86f12', '1584161159764-3fc1867449dbfedc', '1584394826704-3fe44e9bd88bf3d8', '1584475244313-3fed58b0d4d7241c', '1584500921194-3fec1a4cc412b029']",34.96101266700336,-40.49261575690234
0,Félix Houphouët Boigny International Airport,"(0.29803921568627456, 0.44705882352941156, 0.6901960784313725)",295,"['1439137473084-3fc756cc3f8d6404', '1439198245820-3fda14add91e3f20', '1439198461993-3fefd6db711e0342', '1439575035515-3feb330512548cbd', '1440393646546-3fdb2bc02b9f8020', '1440587435784-3fd9774c19c34352', '1440685155393-3fc146658487ee5c', '1440695268466-3fed124fcb2d6703', '1440783261687-3fef9e8fa11b684b', '1441962544498-3fd368cc13a772e8', '1442061839066-3fe91a80ef7915dd', '1442124734845-3fd5fdfe369561c2', '1442220199480-3fe8b0d28c98056d', '1442478562375-3fe67cffc2641d81', '1442513045330-3fed549f1781df7c', '1443287184064-3fc5c775c5ff9150', '1443373853078-3f85dbd009ade100', '1444034766016-3fe72fd2093148ea', '1444154226577-3fcae8d844713de0', '1444154332336-3fe8da38fc03604c', '1444488010781-3fea839347789f96', '1444657773109-3fce39b6b8add20c', '1445107217515-3fec87febde23e6b', '1445244548643-3fe325601d21fee4', '1445621005231-3fd05fe2aac1b288', '1445627655000-3fde73d0e930d136', '1445743916037-3fe0f01b32ca5337', '1445745058744-3fd25ada4d024056', '1445746504615-3fe07973fbf1bec7', '1445955064084-3fb8920e4a653960', '1445955639325-3fef26cc4816360a', '1445956389764-3fb25d2fed79d658', '1446138299298-3fcc170feada64a4', '1446224253202-3fdf1cfa13e13192', '1446823096820-3fdfaafe02cefef2', '1447126339075-3fe407b048de5b84', '1447235604954-3fc1a962b3eca710', '1447236393727-3fe863f476d1ffe4', '1447236620638-3fb84b8f2d4488f8', '1447332979498-3fd532247a4822ea', '1447433006641-3f76382e91791400', '1447733404472-3fcdfa60eb918b04', '1447868741883-3fd5cbabe948415e', '1447869973693-3fd83357e2c86e6e', '1448127996616-3fed83d6e36f69ba', '1448129757259-3fbbf9ea57ddddc0', '1448203628593-3fdcd993133e2430', '1448816055403-3fd9aea0509dbb3a', '1448901590730-3fb1dc9cd7759f38', '1448904743348-3fd5eb6796290b4a', '1448905493409-3fdbda0b108b2844', '1449526994031-3fd3c9b6ef08eaa6', '1449824640000-3fe7832dc802e40d', '1450175269316-3fdba2584d1fe2d0', '1450277365624-3fcfc9c3e399aa70', '1450287213808-3fe2c5b01e7986f9', '1450769302048-3feacfd9788338d1', '1450792562718-3fd099798264e766', '1450801139932-3fe537d52488440a', '1450978892470-3fd56afc0494535e', '1451489279125-3fe663cd3f8740e9', '1451843469809-3fe10f1fb0a88b5f', '1451969113587-3fe96c611b545b55', '1452274002416-3fc8311a3c258830', '1453327073349-3fe57fa1a1fd6119', '1454069707304-3feea874f52cd53f', '1454070106934-3feb7d07e04c5d0d', '1454070177918-3fc4a3c7d48a1abc', '1454070503844-3fd944daf83cd312', '1454194350747-3fd71179ceec9806', '1455465963419-3fe512a806c62404', '1455561010448-3fe45cbeb792c34f', '1455732662211-3febbd19c62f951e', '1455822916041-3fe960e8002a1ada', '1456076949304-3fdbc2f2801c8b4e', '1456262570864-3fedcc1871a33b5e', '1456490040768-3fe2846cc299e01d', '1456768231814-3fe5e177204124ac', '1456768728594-3fe6ee39b197282f', '1457118075782-3f863ee424edf9c0', '1457375298205-3fed03da4d0722e3', '1457592696274-3fd1d42bb869d26e', '1457640307948-3fe3c536ad4105ff', '1457724340837-3feda58d102b4e35', '1457725136185-3fd4754036a510c6', '1457961282703-3fd7128306b18fbe', '1458644514606-3fc213df672a3fcc', '1458814924319-3fe38acb7b6a4a6f', '1458924623656-3fe836da2f730082', '1458963696247-3fd3ded5a778bc5c', '1459107005322-3fe29d147091d551', '1459110917006-3fefc71885798803', '1459366523549-3fe887d13b98ee8d', '1459633834548-3fe62324b7e93e52', '1459985000276-3fd7699c9cf8fa2e', '1460056719920-3fd6b5eecc7904d4', '1460577717497-3fa917449951a5f0', '1460577841887-3fca744c222e9c98', '1460579775715-3fdbfdc565cde056', '1461157486728-3fe5bade377d97b3', '1461158680109-3f9bafc795de3e00', '1461161058260-3fe0000eda69dc1f', '1461161850076-3fe5cd942f83d903', '1461178876701-3fe8e8324c599e4e', '1461516601816-3fe4c29e1241e0a7', '1461812149549-3fed58a179db2ba4', '1461815305578-3fe4d67a84dc784a', '1461866312919-3feac41944d84a88', '1462025850938-3fee84852394977f', '1462289557229-3fc31ca1e9f0ad04', '1462474502987-3fe602431fa0d646', '1462647869700-3fec08094cec16d2', '1462959084695-3fee2a054f6ad059', '1463154525782-3fe655757e381555', '1463480133310-3fe205874765618b', '1463714497071-3fd586301ea956ca', '1463724040285-3fe9e4934a960f1b', '1463829342268-3fd96e867bad46aa', '1464071493858-3fbbb4930ccd6598', '1464202537432-3fed4db1d876b10a', '1464254741759-3fd145b84e233358', '1464322887474-3fdf9d9fb4aec152', '1464323185173-3fce519575c3d340', '1464391876080-3fd54d1e5141b70c', '1464412718677-3fe516042a088713', '1464684984070-3fd37624b77c501a', '1464690477062-3fe2cc8b75061e40', '1464722462462-3fdbcb770d79bab0', '1464866712179-3fefcc030770dd2a', '1464892155030-3fac0a19096ee790', '1464893046061-3fcdf4948685e3b8', '1464893812527-3fdc26368db6eba8', '1464924476705-3fd83f9ebaf82f68', '1465356075634-3fe9ab5cd2e582b3', '1465498443339-3fdd494ac837fd26', '1465499355882-3f633855ae12b400', '1466174067091-3fefe94b5c4ce8e5', '1466325799261-3fe44f9a652ee9fc', '1466421745093-3fc6777b4185c708', '1466530242981-3fe5fd374a19a368', '1466666732629-3fed7b730d81f584', '1466830754554-3fe4910417337dd2', '1467091814887-3fdb49668805caba', '1469305583353-3fe6f105638d4607', '1469629036835-3fd75b7416a68e52', '1470373937067-3f8a5e7f62fdc240', '1470450491971-3fca3fe83efa0528', '1470513450837-3fe1619ccfc5cd7f', '1471196048945-3f7881453cd39080', '1472805461428-3fccca500f3d5d5c', '1472954653558-3fc25b01e430c8dc', '1472971716398-3fec981a9254917c', '1473273551307-3fe134e69fd33446', '1473515832730-3fe3b6dd2bd05251', '1473584847191-3fde9f02effaf70c', '1474309876096-3fe2e5ed8490e263', '1474310184323-3fd4fdff05a613d0', '1474310595508-3fe32bc21b11700b', '1474357179727-3fe4ce4e91cba6aa', '1475832629340-3feed134040812d1', '1475932445816-3fdad8f0fbdf40ce', '1476497626106-3fe7a53c5ca1b8af', '1477666828840-3fd692994b29ef98', '1478438211641-3fbf62572c6808b8', '1479146110655-3fa0ae42cf5254f0', '1479386291847-3fe65baa5ca77911', '1479800095660-3fe0cd08e99cab43', '1480253172611-3fe62f1ea6ecef7d', '1480850646849-3fe7588b602543fe', '1481698126979-3fb8a204c9da23b0', '1486149894264-3fde0a4d11a8d820', '1486695123189-3fe0052d3c2d9d51', '1491048977654-3fe9f6cd38348dec', '1491052120773-3fe7684a6fb24ccb', '1479100062436-3fe22a9c7cd59ad6', '1492701478286-3fb24074b2cbf8c0', '1493674349361-3fb4f47a789416b0', '1493676922521-3fd381fa53c5fb3c', '1493727766156-3fdc4bb02074881e', '1493676517022-3fdbfb77008884ca', '1495361027959-3fdcd7f1e4ad8ffa', '1495361198288-3fedad275fc4474a', '1495438351702-3fe21543f4c598c4', '1495440610011-3fed3946c179d7dc', '1495440810805-3fa481f2be882870', '1495642888405-3fe8cd8a8e77e00b', '1495645598107-3fe5815aa80e658b', '1495908054247-3fe026c23a594e15', '1496161719256-3fe0d7e87aa3626c', '1496167728044-3fd2b203a2816dee', '1499799038909-3fe9f9ce23c7f3f9', '1500035371829-3fda912cb8760684', '1500036290612-3feabcd1ac8a8b0b', '1500558650899-3fef0e284b7fe604', '1500559152000-3feb07a91c8205b3', '1500578372684-3fba4e96390339c8', '1500578490040-3fd43df661c7a470', '1500643026619-3fce66258c3950f8', '1500644074696-3feab6a94130c839', '1500645763968-3fdc8b2681707422', '1500645809872-3fe839e52e682126', '1500645956940-3fed99f733792059', '1501093692169-3fea0f61bdebf3af', '1501392129749-3feab332dadd07a6', '1504247275054-3fe26b82a4f8126f', '1505134805989-3fd64f6dbf620dfa', '1505136454746-3fe1bd7f8089deed', '1505142407625-3fc68105d8062924', '1505232204943-3fe5050e1c4dff9e', '1505263544657-3febdb313b86b410', '1514457610468-3feb720018b1f6be', '1534603071154-3fd6936d152d9840', '1534603997856-3fe43d8a1df1419f', '1534604439670-3fda47db3900ea02', '1534604687971-3fe6366d85a5db42', '1535418646349-3fd21c5d38346a0c', '1538252542876-3fd9f41a748182ca', '1538252625501-3fe182ffca8b7c16', '1538253697707-3fe6506e88936932', '1538257094500-3fed3b87e0ad9d11', '1540701001874-3fe358fd157f7886', '1540702368729-3fef4b2aa19b6963', '1548978326619-3feddbdf0b371d2b', '1550530816969-3fec512d4b8c9568', '1550531223325-3fdfcb7b6961db52', '1554856850768-3fb69f7fb5e61150', '1554857355378-3fe993430ff4b5dd', '1554858908332-3fcecb07ea477d70', '1555596916716-3fb9372083a49590', '1555974898528-ast39vldm48z2is5', '1557284113352-3fefae739581de68', '1560442838758-3fed1c21831913e5', '1560885828084-3fc20cfb63cc6460', '1561269760012-3fd542b8248138fe', '1562966160152-3fe8abb923ec2871', '1566133846302-3fc402246a37daf0', '1566667560650-3fded9582ceedbe0', '1568752449582-3fe6afa54d7c85bf', '1569618985447-3fec483512ed571f', '1569636870555-3fda0e994f61146a', '1569859938151-3fe094040ba25945', '1570583101166-3fe531091264be44', '1571846155884-3fecce337e9b1323', '1571961569551-3f8d6c0562ab4780', '1573348038750-3fc77240effe70f8', '1575772712824-o0e3ta88z61teh1v', '1575983470172-7n04nym5cqbhctcx', '1576087615927-v88coryblxfus4kb', '1576090573303-5zfata99tdrvzpti', '1576161181584-e17bddwtqt361j36', '1576284156489-qjsuou64gn7nu5jn', '1576378015180-ceit40jb39n9oc0x', '1576419265681-4im8rmkbjzbxqfdh', '1576420117516-9suw434rnqhgiuf1', '1576589581191-om6mrdxi47dzaj0a', '1576604864976-i36iud4y77d7h9c9', '1576646115376-kquiqu6sdy7xaq03', '1576686238968-2cdauyarjsc450ai', '1576686609080-am46t2gbcmqs0ykg', '1576886685157-ulh7adwrbktaugb8', '1577036521513-pw42gxa325s9059t', '1577057591577-9g9ljjgsbsmm4af7', '1577060596399-3fd9cd4ac77be042', '1577061198556-3fe5a0fc5b818074', '1577346672614-3fe1e84ab36a2899', '1577402302244-3fe0b0db7244a665', '1577403407036-3fc0f2f3552db270', '1577403737088-3fed0e06943f1344', '1577403860553-3fb9632ffe201ab0', '1578745883892-3fecfca8baeff220', '1578758314096-3fee5209d1d9ace3', '1578758390452-3fd4266946bdd1d4', '1579171520604-3fea74ed92527920', '1579243249112-3fea594841a31ebc', '1579275893211-3fb6825b34b50ac0', '1579340023019-3fdc051507f9a90c', '1579772901139-3fd1378c6c8bee90', '1581787044167-3fe7c478d26543da', '1581996032753-19px36taf99q99qk', '1587358206858-3fed9404fb40d223', '1582725254948-3fe1cad6f7145a89', '1583121001434-qm9wxldalk9qpxou', '1583756742876-3fdb22f985f0c054', '1583963891389-xebmutsqrydqgfsp', '1583964100991-4q9pixe9vufrycd6', '1584181286512-3fe89f7cec4e1126', '1585027149979-m6mtv274scozz4fw', '1585413005600-wc42o7kee4o8ukzd', '1585545991284-2ov5cuhvq8sy0tuc', '1586069024069-3feac508ede0aaa3', '1586073185110-3fdc41919509e972', '1586636565014-3fc2880384a4f06c', '1586656695559-3fc7aed61f9b0814', '1588441286043-3feccf15c85a6e25', '1589680083127-3fd337d30df0a5ce']",1.8094110163050958,1.7782784780339105
1,"77990 Le Mesnil-Amelot, France","(0.8666666666666666, 0.5176470588235296, 0.32156862745098047)",7,"['1493970040613-3fd55ccba7c27598', '1493973202157-3fc0e6ae5144c5cc', '1495058488315-3fe17dda1f0be7fc', '1495101698494-3fe60341fa88c953', '1495116691690-3fed9f8db2645483', '1496318823930-3fe33a67e626d338', '1496318930293-3fe97634ee760331']",48.93460594285715,2.4668689357142854
2,58-60 Rue Hérold,"(0.33333333333333337, 0.6588235294117647, 0.40784313725490207)",7,"['1495386544790-3fef94c83f3ec70f', '1495386754863-3fdbccaefabbf2f6', '1495393459130-3fe1cce611dfc8f9', '1495398248125-3fd035cf015fb212', '1495463263777-3fac35034e891ef0', '1495517740771-3fe9dcb4bac9af9a', '1495541446967-3fe08fb04aa22814']",43.71554374285714,6.975482925714286
3,Bahnhofstrasse 22,"(0.5373215176479827, 0.5371882862735861, 0.5371928025913623)",12,"['1495553269450-3fd10fb19c290884', '1495571446841-3fd3ffbef74caf66', '1495615114435-3fe9ffc1c1088ef0', '1495741377529-3fc479418b226220', '1495786294500-3fc731a677a28f7c', '1495835928516-3fc448901b90db4c', '1495836308285-3fc8da0af5c85840', '1495836410337-3fb8c06d98d8f458', '1495957032122-3fe2639104f79ef4', '1496053676308-3fd35071315342a2', '1496235955798-3fc6b40de84c4bdc', '1496237810771-3feff289dbd3bdb2']",46.30990123333334,7.482498260833335
4,"Terminal 6, 600 World Way, Los Angeles, CA 90045, USA","(0.5058823529411766, 0.44705882352941173, 0.7019607843137254)",8,"['1560446679280-3fdb65c88cc498f6', '1560446902282-3fd26e4ae3f2ce7c', '1560642897678-3fd299b147c177c2', '1560708322103-3fd1ab510ee8af2a', '1560711066772-3fbb20583b947020', '1560797196183-3fc15c96c26da104', '1560888009874-3fcf90acd61abcd0', '1560918191973-3fad7b84228fd340']",34.85386115,-118.74721124999999
5,"1111 14th St NW, Washington, DC 20005, USA","(0.4927727165684862, 0.4755116395098122, 0.460168459902102)",7,"['1552754415925-3fe0559c93f916aa', '1552754739647-3fd0e1d7ae21ca72', '1552762189902-3fb0cc85b656d2a8', '1552794472096-3fec73fc6e20719f', '1552794703931-3fe10aba0534f45e', '1552879047791-3fdbe9368084e676', '1552938198193-3fefebbeeef17688']",38.972148385714284,-76.92315485714286
6,29670 Taulé,"(0.7010779363610327, 0.6989220636389673, 0.7004502772141022)",10,"['1493981364756-3fe71c572e3376e2', '1493988114532-3fa0f656d792e5f0', '1493988124359-3fa1747ff380b970', '1493988543815-3fe3a33881710434', '1494341567984-3f8e50d45bb205c0', '1494392961886-3fd0c371ba9604d2', '1494587407892-3fe399f20861dbba', '1494928754405-3fd185638a6bb8c6', '1494937458649-3fb129bef8152878', '1494946634839-3fd6d54e1b1851c4']",48.67683676,-3.97753834
7,8 Avenue de Bel air,"(0.5490196078431373, 0.5490196078431373, 0.5490196078431373)",13,"['1494037856509-3fe90c6355c0a63c', '1494038519048-3feb71e9d2a021e1', '1494092354086-3fde45a35128ce62', '1494092875819-3febf6df9c8ab3bd', '1494096533709-3fdac3e034005cfa', '1494146407717-3fecdd3b2ebd22a5', '1494146521501-3fea12fad7fcec3b', '1494147698931-3fe5bb30f8aaa37b', '1494175770238-3fe2465ee8be4ba5', '1494175823865-3fe0420e3b231a5b', '1494351749511-3fd5b9dbd2e96074', '1494600388248-3fd3a940d52ebf76', '1494704805011-3fd77dc217c5e6a8']",48.527127746153845,-3.9355018076923076
8,"AgrasenNagar, 0, Upper Govind Nagar, Malad East, Mumbai, Maharashtra 400097, India","(0.7964687114386875, 0.7234837821231401, 0.45843324934562624)",12,"['1482859698553-3fd13397ed3cb4fe', '1482954206221-3fde99747ec2b5c8', '1483556518136-3fd80e41eb3846ae', '1517899674343-3fecf5e2e422ca3d', '1517909622611-3fd8df284b8703a0', '1521010473160-3fe15d31cad69913', '1521113770891-3fe2867867897272', '1521120522193-3fd0a5b7a0ce15b2', '1531490925105-3fdb4ae25d711b8c', '1531626929980-3fbbfab40071a318', '1531726449955-3feed350e2b2c030', '1578689503084-3fda6ff80f09f78c']",19.09368675,72.84618631666667
